Cluster,Customer_Persona,PC1,PC2,PC3,Recency,Frequency,Total_Spent,Avg_Price_Paid,Total_Items_Bought,Avg_Items_In_Cart
0,The Minimalist One-Timers,0.1555275301562532,-1.1425409187685587,-1.3466246702917135,623,1,1470.03,490.01,3,4.0
3,The Bulk Value Shoppers,-1.249885714431669,1.2826498001533861,-2.004047434860181,259,1,153.48,76.74,2,7.0
2,The Fresh Prospects,-0.06389475835483437,-1.655341785328081,2.5489264183192857,743,1,1349.8,674.9,2,4.0
1,The Premium High-Rollers,0.9207339471944072,-0.5980511199600946,-0.4436364941978783,336,1,1303.04,325.76,4,8.0
3,The Bulk Value Shoppers,1.0594228127292638,1.1762232914387367,-1.526471711146498,417,1,635.9,127.18,5,10.0
0,The Minimalist One-Timers,-2.2185415727696114,-1.0124920468501388,-1.3991764550698642,642,1,204.08,204.08,1,4.0
0,The Minimalist One-Timers,-1.0752505347399564,0.4468300278373884,-0.5669834455172005,789,1,466.42,466.42,1,5.0
0,The Minimalist One-Timers,-0.4906511023844493,0.078017834298516,-0.22126797258425507,383,1,922.74,461.37,2,5.0
3,The Bulk Value Shoppers,1.09304734583372,1.5839947992698973,-1.0216926841450393,616,1,1099.28,274.82,4,9.0
0,The Minimalist One-Timers,-1.4545108999939798,0.8815529026312806,-0.2667651473564659,558,1,355.09,355.09,1,5.0
2,The Fresh Prospects,-0.39580864394843635,1.5430467484247719,1.7623603796662892,552,1,789.57,263.19,3,5.0
3,The Bulk Value Shoppers,-0.21938955847763908,1.2054754245806927,-0.8607834819971486,345,1,754.94,377.47,2,7.0
1,The Premium High-Rollers,0.7931454602587432,-0.4658876522679089,-0.41471634385447126,306,1,1306.65,261.33,5,5.0
3,The Bulk Value Shoppers,1.034578671993427,1.5538553257570753,0.5268838614424899,294,1,454.6,90.92,5,9.0
1,The Premium High-Rollers,2.95270448481878,0.443709947308838,-0.8234848375660389,472,1,2876.2,575.24,5,7.0
2,The Fresh Prospects,-2.298198430472248,-0.3890980980617605,1.8915683844989026,550,1,146.82,73.41,2,2.0
0,The Minimalist One-Timers,-1.7620557183433587,0.382252184636944,-1.395102643091695,710,1,46.66,46.66,1,6.0
3,The Bulk Value Shoppers,0.11887543714857915,0.6091722715681769,-2.4516516711189267,568,1,264.4,66.1,4,9.0
0,The Minimalist One-Timers,-0.6524666150316588,0.017815312871438328,0.14197042829767106,794,1,337.38,112.46,3,6.0
2,The Fresh Prospects,-1.082973757264354,0.18283088417995794,2.2605304193052427,19,1,929.0,464.5,2,2.0
0,The Minimalist One-Timers,-1.6257023043568937,0.7382537564553978,-0.24441211956583705,57,1,279.14,139.57,2,4.0
2,The Fresh Prospects,-0.7549104464422589,0.5059391819291654,0.9640927749911152,246,1,476.5,238.25,2,7.0
1,The Premium High-Rollers,1.3394605680607163,-0.5239302066264464,-2.043909878804789,283,1,1582.0,316.4,5,7.0
2,The Fresh Prospects,0.2678453985996,0.6427025011785188,1.7702982278532644,180,1,1237.59,412.53,3,6.0
0,The Minimalist One-Timers,-1.4519002713036988,0.11215370018383697,0.7779040902078589,213,1,452.7,452.7,1,5.0
0,The Minimalist One-Timers,-0.2845091362338376,-0.027956250451710723,-1.0633759737150112,664,1,448.02,149.34,3,7.0
0,The Minimalist One-Timers,-2.8595538859819043,-0.34262736346784706,-0.2713794851280986,632,1,30.44,30.44,1,1.0
3,The Bulk Value Shoppers,0.7813183582007628,0.4471905011761806,-0.3334760908585789,134,1,1495.98,498.66,3,6.0
0,The Minimalist One-Timers,-3.067930576629562,-0.6651555196996735,-1.3020771815170398,566,1,132.68,132.68,1,1.0
0,The Minimalist One-Timers,-1.069905288622766,-0.6859557924974208,0.2063390780801513,775,1,815.58,407.79,2,3.0
2,The Fresh Prospects,-2.022961467330711,-1.3444309338155351,2.456773201815084,658,1,531.74,531.74,1,1.0
1,The Premium High-Rollers,3.329048521904927,0.5742517797809213,-1.0567427815826573,791,1,2683.6,536.72,5,10.0
0,The Minimalist One-Timers,-1.800246215052244,0.12423418691319865,-0.1861103302813827,674,1,161.54,80.77,2,4.0
0,The Minimalist One-Timers,-2.4521106700505686,0.5645456522732623,-0.25875663021069883,794,1,93.02,93.02,1,4.0
3,The Bulk Value Shoppers,-0.7352636532081961,0.8745243404643656,-2.701286945684469,286,1,230.88,76.96,3,8.0
0,The Minimalist One-Timers,-1.8469267818945838,-0.8851369632994586,0.1178038038377636,297,1,284.16,142.08,2,4.0
0,The Minimalist One-Timers,-1.266677046033813,0.39527702802406356,0.18478121005866363,491,1,252.93,84.31,3,3.0
1,The Premium High-Rollers,0.8900635771899879,-0.5549265464855048,-0.8389403363642568,637,1,124.1,24.82,5,10.0
0,The Minimalist One-Timers,-0.01230583161850077,-1.5991729398787973,0.09994183971376261,539,1,1427.07,475.69,3,3.0
0,The Minimalist One-Timers,-1.5299121026934466,-2.008136519508149,0.07725240988740799,817,1,281.52,281.52,1,6.0
3,The Bulk Value Shoppers,0.20318165738493865,2.3715304856603527,-1.3759269547519435,582,1,547.32,136.83,4,8.0
0,The Minimalist One-Timers,-2.8680717740811907,-0.5913291152254344,1.1264863224835988,71,1,223.3,223.3,1,1.0
3,The Bulk Value Shoppers,1.4090178196465328,3.27644535459126,-1.706345785622203,648,1,644.75,128.95,5,10.0
3,The Bulk Value Shoppers,1.6102914900121612,0.7695886579810582,-1.303407605338227,107,1,1462.7,292.54,5,8.0
3,The Bulk Value Shoppers,-0.8665812637901495,0.8182603830002422,-1.4688557596874607,565,1,191.04,63.68,3,6.0
3,The Bulk Value Shoppers,0.1923264949462107,2.529034721288172,-0.4044302965889957,560,1,1177.64,294.41,4,4.0
1,The Premium High-Rollers,3.9774903883992585,0.45255682778691314,-0.1445967640939154,431,1,3293.85,658.77,5,10.0
0,The Minimalist One-Timers,-1.2392839310532653,0.12507463412928557,0.14449631898226872,593,1,536.07,536.07,1,5.0
2,The Fresh Prospects,-0.16164592797871244,-1.0378863681396202,2.21266601271651,671,1,889.68,444.84,2,7.0
3,The Bulk Value Shoppers,2.2856723125593126,1.7029607102995112,0.37409808663190014,887,1,2107.1,421.42,5,7.0
2,The Fresh Prospects,-1.3946140219013377,1.3158142135615316,2.044633619553923,758,1,108.82,54.41,2,6.0
2,The Fresh Prospects,-0.7762660802512608,-1.457564143246645,1.5075515468147542,107,1,1199.48,599.74,2,2.0
1,The Premium High-Rollers,2.0593323409759274,-0.2825298016275122,-0.5711636262227222,725,1,2714.2,678.55,4,5.0
3,The Bulk Value Shoppers,0.28886129201391336,0.45811934481446687,0.35982624053369255,677,1,427.6,85.52,5,5.0
0,The Minimalist One-Timers,-1.4111280933159134,-0.23822510580487646,-1.467259723629797,382,1,212.79,70.93,3,5.0
1,The Premium High-Rollers,0.3544378643285874,-0.6474216769468862,-0.027982007976128872,757,1,1239.64,309.91,4,5.0
1,The Premium High-Rollers,3.2243403282614214,-0.45687804876753985,0.6951435408919048,582,1,3384.9,676.98,5,5.0
2,The Fresh Prospects,-1.8814926319964502,1.3476397732684178,1.0297285174942714,631,1,118.8,118.8,1,6.0
0,The Minimalist One-Timers,-1.6961593828567312,-0.28962446161354244,-0.7649376904385876,546,1,80.46,40.23,2,4.0
2,The Fresh Prospects,-0.7319518419678458,-0.43352690370528985,0.7581280130850317,783,1,1248.32,624.16,2,2.0
0,The Minimalist One-Timers,-1.6026748724721336,-1.4516380499167176,0.34617139490865917,368,1,283.69,283.69,1,6.0
2,The Fresh Prospects,0.23328066086908425,1.4273266997055178,2.1252474944785695,276,1,1704.06,568.02,3,3.0
0,The Minimalist One-Timers,-1.2603695903587948,-0.6338099102083177,0.18287812166508507,789,1,491.11,491.11,1,4.0
3,The Bulk Value Shoppers,-1.154875769704993,1.5000483961814584,-0.030613008717847136,342,1,533.9,266.95,2,3.0
0,The Minimalist One-Timers,-0.7573575131081685,0.03727313202399368,-2.6035077550289913,569,1,164.85,54.95,3,8.0
3,The Bulk Value Shoppers,0.9028160087097161,1.9341324274300589,-1.4639319546151008,397,1,395.4,79.08,5,8.0
